CASE	SPEAKER	NORMALIZED_MATCH_POSITION	WORDS_IN_IU	INTONATION	MORPHOLOGY	LEXICAL_RET	MIRRORING	PREC_PAUSE	FOLL_PAUSE	FUNCTION
56	Nikolaj Lixachev	0	2	Continuing	NA	TRUE	FULL	0.9	0.6	PH
57	Nikolaj Lixachev	1	2	Continuing	-ӈин	TRUE	FULL	0	0.3	PH
58	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	0.2	PH
59	Nikolaj Lixachev	1	1	Continuing	-лэ	TRUE	FULL	0.8	0.3	PH
60	Nikolaj Lixachev	1	2	Continuing	-гэ	FALSE	NA	1	0	PH
61	Nikolaj Lixachev	1	1	Continuing	-гэ	TRUE	FULL	0.5	0.5	PH
62	Nikolaj Lixachev	1	4	Falling	-й	FALSE	NA	0	0.1	COP
63	Nikolaj Lixachev	1	2	Falling	-й	FALSE	NA	0.2	0.3	COP
64	Nikolaj Lixachev	1	4	Falling	-й	FALSE	NA	0.3	0.6	COP
65	Nikolaj Lixachev	1	1	Continuing	-гэ	TRUE	FULL	0	0.6	PH
66	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	0	1.1	PH
67	Nikolaj Lixachev	0	2	Falling	-ги	FALSE	NA	1	0.8	PH
68	Nikolaj Lixachev	1	1	Continuing	-гэт	TRUE	PARTIAL	0	1.9	PH
69	Nikolaj Lixachev	0.5	3	Continuing	-гэ	FALSE	NA	0.8	1.4	PH
70	Nikolaj Lixachev	0	2	Falling	NA	TRUE	FULL	0.5	1	PH
71	Nikolaj Lixachev	1	1	Continuing	-лэк	TRUE	FULL	1	3.9	PH
72	Nikolaj Lixachev	1	1	Continuing	-ну-млэ	TRUE	PARTIAL	0.7	0.7	PH
73	Nikolaj Lixachev	1	1	Continuing	-дэ-йлэ	TRUE	FULL	0.8	0	PH
74	Nikolaj Lixachev	1	2	Falling	-л	FALSE	NA	0.7	0.8	COP
75	Nikolaj Lixachev	1	1	Falling	-ги	TRUE	FULL	0.8	0.5	PH
76	Nikolaj Lixachev	1	1	Continuing	-ги	TRUE	FULL	0	0	PH
77	Nikolaj Lixachev	0	3	Falling	-ги	TRUE	FULL	1.2	0	PH
78	Nikolaj Lixachev	0.5	3	Continuing	NA	TRUE	FULL	1	0	PH
79	Nikolaj Lixachev	1	1	Continuing	-дэ-гэн	FALSE	NA	0	0	PH
80	Nikolaj Lixachev	0.75	5	Falling	NA	TRUE	FULL	0.6	0	PH
81	Nikolaj Lixachev	0.5	3	Falling	-т-и	FALSE	NA	0	0	COP
82	Nikolaj Lixachev	0.666666666666667	4	Continuing	-т-и	FALSE	NA	0	0	COP
83	Nikolaj Lixachev	1	1	Continuing	-т-и	FALSE	NA	0.4	0	COP
84	Nikolaj Lixachev	0	2	Continuing	-гэт	TRUE	FULL	0.6	0	PH
85	Nikolaj Lixachev	0.75	5	Falling	-л-гэлэ	FALSE	NA	0	0	COP
86	Vasilij Shalugin	0	2	Continuing	-дэ-гэн	FALSE	NA	3.9	1.5	PH
87	Vasilij Shalugin	0	4	Falling	NA	TRUE	PARTIAL	1.5	1.9	PH
88	Vasilij Shalugin	1	3	Continuing	-т	FALSE	NA	0.5	0.7	PH
89	Vasilij Shalugin	0	2	Continuing	NA	TRUE	FULL	1.5	1.4	PH
90	Vasilij Shalugin	0	2	Falling	NA	TRUE	FULL	1.4	1.1	PH
91	Vasilij Shalugin	0	2	Continuing	-гэт	TRUE	FULL	1.1	0.6	PH
92	Vasilij Shalugin	1	1	Continuing	-ллэ	TRUE	FULL	0	0	PH
93	Vasilij Shalugin	0	2	Continuing	NA	TRUE	PARTIAL	0.7	0.5	PH
94	Vasilij Shalugin	0.333333333333333	4	Falling	-п-ки	FALSE	NA	0	0	PH
95	Vasilij Shalugin	0.5	3	Continuing	NA	TRUE	PARTIAL	0.3	1.2	PH
96	Vasilij Shalugin	1	3	Continuing	-й-миэ	FALSE	NA	0	0	COP
97	Vasilij Shalugin	1	2	Continuing	-млэ	TRUE	FULL	0.7	0.7	PH
98	Vasilij Shalugin	1	1	Continuing	-ӈ	TRUE	FULL	1	1.2	PH
99	Vasilij Shalugin	1	3	Continuing	-л	FALSE	NA	2.7	0.5	COP
100	Vasilij Shalugin	1	2	Falling	-т-и	FALSE	NA	0	1.9	COP
101	Vasilij Shalugin	0	2	Falling	NA	FALSE	NA	0	0	PH
102	Vasilij Shalugin	1	1	Falling	-л-у-м	FALSE	NA	1	1	COP
103	Vasilij Shalugin	1	1	Continuing	-т	TRUE	FULL	2.2	0	PH
104	Vasilij Shalugin	1	1	Continuing	-м	FALSE	NA	0.3	1.5	PH
105	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	0.5	0	PH
106	Vasilij Shalugin	1	1	Continuing	NA	TRUE	FULL	0	0	PH
107	Vasilij Shalugin	0	2	Continuing	-й-бэн	FALSE	NA	0	0	COP
108	Vasilij Shalugin	0	4	Continuing	-ги	TRUE	FULL	3	1.7	PH
109	Vasilij Shalugin	1	1	Continuing	-ӈоот	FALSE	NA	0.2	0	COP
110	Vasilij Shalugin	1	3	Continuing	-т	TRUE	FULL	0.2	2	PH
111	Vasilij Shalugin	1	1	Continuing	NA	TRUE	PARTIAL	2.7	0	PH
112	Vasilij Shalugin	0.5	3	Continuing	-ӈин	TRUE	FULL	2.3	0.3	PH
113	Vasilij Shalugin	0	2	Continuing	-т-чиили	TRUE	PARTIAL	0.4	1.9	PH
114	Vasilij Shalugin	1	1	Falling	-ну-л-ӈилэ	FALSE	NA	0	0	COP
115	Vasilij Shalugin	1	2	Continuing	-ну-л-ӈилэ	FALSE	NA	0.2	0	COP
116	Vasilij Shalugin	1	2	Continuing	-ну-л-ӈи	TRUE	PARTIAL	0.9	0	PH
117	Vasilij Shalugin	1	2	Continuing	-гэлэ	TRUE	FULL	1.8	0	PH
